sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1292.mp4"",""group_1/1071.mp4"",""group_1/1169.mp4"",""group_1/1292.mp4"",""group_1/0059.mp4"",""group_1/1071.mp4"",""group_1/0283.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/1768.mp4"",""group_1/1292.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/1703.mp4"",""group_1/1292.mp4"",""group_1/1375.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/1292.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/1158.mp4"",""group_1/0059.mp4"",""group_1/1375.mp4"",""group_1/1169.mp4"",""group_1/1703.mp4"",""group_1/0059.mp4"",""group_1/0927.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/1791.mp4"",""group_1/1169.mp4"",""group_1/0283.mp4"",""group_1/0059.mp4"",""group_1/2138.mp4"",""group_1/0283.mp4"",""group_1/1158.mp4"",""group_1/1791.mp4"",""group_1/1375.mp4"",""group_1/0283.mp4"",""group_1/1703.mp4"",""group_1/1791.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/1768.mp4"",""group_1/1791.mp4"",""group_1/2138.mp4"",""group_1/1768.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/1375.mp4"",""group_1/1768.mp4"",""group_1/1703.mp4"",""group_1/0927.mp4"",""group_1/2138.mp4"",""group_1/1703.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/1703.mp4"",""group_1/0927.mp4"",""group_1/1768.mp4"",""group_1/1791.mp4"",""group_1/0283.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/1071.mp4"",""group_1/2138.mp4""]",0.026085636,-0.391596414,1,0,0,image,-0.005779406,-0.412214971,1,0,0,image_2,0.024835989,-0.395345243,1,0,0,image,0.003592665,-0.346610472,1,0,0,image,0.049203374,-0.435332709,1,0,0,image,-0.002655401,-0.00671667,1,0,0,center_square_3,0.9,0.017338332,0.098875351,0,0,0,4,68.0371,1,1,0.017338332,0.098875351,0,0,0,0,0,0,0,1,videos/0001.mp4,1,AndrewMilton,2024-06-26_20h49.25.315,demoExp_V2,2021.2.3,Win32,238.0952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.049203374,0.156982193,1,0,0,4,73.0508,1,2,-0.002030577,-0.015463918,1,0,0,0,1,1,1,1,videos/0002.mp4,2,AndrewMilton,2024-06-26_20h49.25.315,demoExp_V2,2021.2.3,Win32,238.0952381,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.141674496,0.056388619,1,0,0,3,83.065,1,3,0.001718251,0.008278644,1,0,0,0,2,2,2,1,videos/0003.mp4,3,AndrewMilton,2024-06-26_20h49.25.315,demoExp_V2,2021.2.3,Win32,238.0952381,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.099500118,0.034520443,1,0,0,-3,95.4939,1,4,-0.007029053,0.005779406,1,0,0,0,3,3,3,1,videos/0004.mp4,4,AndrewMilton,2024-06-26_20h49.25.315,demoExp_V2,2021.2.3,Win32,238.0952381,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.054514176,0.113245842,1,0,0,-4,105.146,1,5,0.001718251,-0.009840675,1,0,0,0,4,4,4,1,videos/0005.mp4,5,AndrewMilton,2024-06-26_20h49.25.315,demoExp_V2,2021.2.3,Win32,238.0952381,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.116682287,-0.066073102,1,0,0,2,125.8978,1,6,0.001093427,0.013901887,1,0,0,0,5,5,5,1,videos/0006.mp4,6,AndrewMilton,2024-06-26_20h49.25.315,demoExp_V2,2021.2.3,Win32,238.0952381,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011090322,-0.004217432,1,0,0,center_square_3,0.8,,,,,,2,145.491,1,1,,,,,,,,,,,,,AndrewMilton,2024-06-26_20h49.25.315,demoExp_V2,2021.2.3,Win32,238.0952381,,,0.037332122,-0.377850691,1,0,0,image,0.011090322,-0.004217432,0,0,0,group_1/1292.mp4,0.011090322,-0.004217432,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,-4,149.6646,1,2,,,,,,,,,,,,,AndrewMilton,2024-06-26_20h49.25.315,demoExp_V2,2021.2.3,Win32,238.0952381,,,,,,,,,-0.047016519,0.10387377,1,0,0,group_1/1071.mp4,-0.008903468,0.013277063,1,0,0,1,0,1,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-1,161.1344,1,3,,,,,,,,,,,,,AndrewMilton,2024-06-26_20h49.25.315,demoExp_V2,2021.2.3,Win32,238.0952381,,,,,,,,,-0.071383904,-0.106685449,1,0,0,group_1/1169.mp4,-0.008903468,0.013277063,1,0,0,2,0,2,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,-3,173.7375,1,4,,,,,,,,,,,,,AndrewMilton,2024-06-26_20h49.25.315,demoExp_V2,2021.2.3,Win32,238.0952381,,,,,,,,,-0.108247423,0.026397991,1,0,0,group_1/1292.mp4,-0.015151477,-0.010465499,1,0,0,3,0,3,0,1,response7disk_2,center_square_2,,
