sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1292.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/1292.mp4"",""group_1/1169.mp4"",""group_1/0927.mp4"",""group_1/2138.mp4"",""group_1/1071.mp4"",""group_1/0927.mp4"",""group_1/1703.mp4"",""group_1/1292.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/0059.mp4"",""group_1/1292.mp4"",""group_1/1375.mp4"",""group_1/0927.mp4"",""group_1/1791.mp4"",""group_1/1292.mp4"",""group_1/1768.mp4"",""group_1/0283.mp4"",""group_1/1791.mp4"",""group_1/1169.mp4"",""group_1/1375.mp4"",""group_1/0283.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/1158.mp4"",""group_1/0283.mp4"",""group_1/1703.mp4"",""group_1/1169.mp4"",""group_1/1071.mp4"",""group_1/0283.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/0059.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/2138.mp4"",""group_1/1703.mp4"",""group_1/1071.mp4"",""group_1/1768.mp4"",""group_1/1703.mp4"",""group_1/1791.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/1703.mp4"",""group_1/0059.mp4"",""group_1/1158.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/1791.mp4"",""group_1/1375.mp4"",""group_1/1768.mp4"",""group_1/1791.mp4"",""group_1/1375.mp4"",""group_1/0059.mp4"",""group_1/1158.mp4"",""group_1/1703.mp4"",""group_1/1071.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/0283.mp4"",""group_1/0927.mp4"",""group_1/1768.mp4""]",0.027478826,-0.373101636,1,0,0,image,-0.010670999,-0.389365508,1,0,0,image_2,-0.010670999,-0.389365508,1,0,0,image,-0.007381717,-0.400916326,1,0,0,image,-0.007381717,-0.400916326,1,0,0,image,-0.00125219,0.003650701,1,0,0,center_square_3,0.9,0.030768107,0.051292348,0,0,0,4,54.8062,1,1,0.030768107,0.051292348,0,0,0,0,0,0,0,1,videos/0001.mp4,1,chadakazuki,2024-06-26_21h03.02.263,demoExp_V2,2021.2.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.11312427,-0.018790158,1,0,0,2,58.8447,1,2,-0.006257301,0.011966998,1,0,0,0,1,1,1,1,videos/0002.mp4,2,chadakazuki,2024-06-26_21h03.02.263,demoExp_V2,2021.2.3,MacIntel,59.88023952,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.084656104,0.11786288,1,0,0,-4,68.7327,1,3,0.002424065,-0.012164136,1,0,0,0,2,2,2,1,videos/0003.mp4,3,chadakazuki,2024-06-26_21h03.02.263,demoExp_V2,2021.2.3,MacIntel,59.88023952,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.041858937,-0.127102804,1,0,0,1,81.2322,1,4,0.010400847,-0.001241238,1,0,0,0,3,3,3,1,videos/0004.mp4,4,chadakazuki,2024-06-26_21h03.02.263,demoExp_V2,2021.2.3,MacIntel,59.88023952,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.040873248,-0.073236711,1,0,0,-1,92.7325,1,5,0.011638435,-0.001953125,1,0,0,0,4,4,4,1,videos/0005.mp4,5,chadakazuki,2024-06-26_21h03.02.263,demoExp_V2,2021.2.3,MacIntel,59.88023952,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.062806659,-0.087638727,1,0,0,-1,109.0326,1,6,-0.00572795,-0.003051986,1,0,0,0,5,5,5,1,videos/0006.mp4,6,chadakazuki,2024-06-26_21h03.02.263,demoExp_V2,2021.2.3,MacIntel,59.88023952,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009751022,-0.002416764,1,0,0,center_square_3,0.7,,,,,,4,130.3368,1,1,,,,,,,,,,,,,chadakazuki,2024-06-26_21h03.02.263,demoExp_V2,2021.2.3,MacIntel,59.88023952,,,-0.022849737,-0.416435456,1,0,0,image,0.118220648,0.121553738,0,0,0,group_1/1292.mp4,0.118220648,0.121553738,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,-3,137.3824,1,2,,,,,,,,,,,,,chadakazuki,2024-06-26_21h03.02.263,demoExp_V2,2021.2.3,MacIntel,59.88023952,,,,,,,,,-0.133042494,0.051149971,1,0,0,group_1/0927.mp4,-0.002007886,-0.006553008,1,0,0,1,0,1,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,156.0481,1,3,,,,,,,,,,,,,chadakazuki,2024-06-26_21h03.02.263,demoExp_V2,2021.2.3,MacIntel,59.88023952,,,,,,,,,0.127354702,-0.050854264,1,0,0,group_1/0283.mp4,0.005399387,-0.00301913,1,0,0,2,0,2,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,-3,168.6645,1,4,,,,,,,,,,,,,chadakazuki,2024-06-26_21h03.02.263,demoExp_V2,2021.2.3,MacIntel,59.88023952,,,,,,,,,-0.117877482,0.080319071,1,0,0,group_1/1292.mp4,-0.001131717,-0.008447722,1,0,0,3,0,3,0,1,response7disk_2,center_square_2,,
