sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1703.mp4"",""group_1/1158.mp4"",""group_1/1169.mp4"",""group_1/1703.mp4"",""group_1/1292.mp4"",""group_1/1158.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/1158.mp4"",""group_1/1768.mp4"",""group_1/1703.mp4"",""group_1/0059.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/1703.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/1703.mp4"",""group_1/0283.mp4"",""group_1/1169.mp4"",""group_1/0927.mp4"",""group_1/1292.mp4"",""group_1/1071.mp4"",""group_1/1169.mp4"",""group_1/1375.mp4"",""group_1/1292.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/1292.mp4"",""group_1/1791.mp4"",""group_1/1169.mp4"",""group_1/2138.mp4"",""group_1/1292.mp4"",""group_1/0283.mp4"",""group_1/2138.mp4"",""group_1/0927.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/2138.mp4"",""group_1/1375.mp4"",""group_1/1791.mp4"",""group_1/0059.mp4"",""group_1/2138.mp4"",""group_1/1768.mp4"",""group_1/1791.mp4"",""group_1/0283.mp4"",""group_1/1768.mp4"",""group_1/0927.mp4"",""group_1/0059.mp4"",""group_1/1071.mp4"",""group_1/1768.mp4"",""group_1/1375.mp4"",""group_1/0059.mp4"",""group_1/0283.mp4"",""group_1/1375.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/0283.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/1375.mp4"",""group_1/0059.mp4"",""group_1/1768.mp4"",""group_1/1791.mp4"",""group_1/2138.mp4"",""group_1/1292.mp4"",""group_1/1169.mp4"",""group_1/1158.mp4"",""group_1/0283.mp4""]",0.031111111,-0.445555556,1,0,0,image,0.03,-0.435555556,1,0,0,image_2,0.023333333,-0.371111111,1,0,0,image,-0.015555556,-0.366666667,1,0,0,image,0.07,-0.415555556,1,0,0,image,0.007777778,0,1,0,0,center_square_3,0.6,0.052222222,-0.001111111,0,0,0,2,110.411,1,1,0.052222222,-0.001111111,0,0,0,0,0,0,0,1,videos/0001.mp4,1,niwayamakodai,2024-06-26_21h07.36.403,demoExp_V2,2021.2.3,MacIntel,30.3030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.123333333,0.081111111,1,0,0,3,114.533,1,2,-0.003333333,-0.003333333,1,0,0,0,1,1,1,1,videos/0002.mp4,2,niwayamakodai,2024-06-26_21h07.36.403,demoExp_V2,2021.2.3,MacIntel,30.3030303,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.077777778,-0.054444444,1,0,0,-2,129.366,1,3,0.007777778,0,1,0,0,0,2,2,2,1,videos/0003.mp4,3,niwayamakodai,2024-06-26_21h07.36.403,demoExp_V2,2021.2.3,MacIntel,30.3030303,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.086666667,-0.068888889,1,0,0,2,139.799,1,4,0.008888889,-0.008888889,1,0,0,0,3,3,3,1,videos/0004.mp4,4,niwayamakodai,2024-06-26_21h07.36.403,demoExp_V2,2021.2.3,MacIntel,30.3030303,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.081111111,0.034444444,1,0,0,-3,146.567,1,5,0.001111111,-0.01,1,0,0,0,4,4,4,1,videos/0005.mp4,5,niwayamakodai,2024-06-26_21h07.36.403,demoExp_V2,2021.2.3,MacIntel,30.3030303,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.097777778,0.075555556,1,0,0,-3,159.133,1,6,0.01,-0.008888889,1,0,0,0,5,5,5,1,videos/0006.mp4,6,niwayamakodai,2024-06-26_21h07.36.403,demoExp_V2,2021.2.3,MacIntel,30.3030303,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004444444,-0.006666667,1,0,0,center_square_3,0.7,,,,,,1,182.844,1,1,,,,,,,,,,,,,niwayamakodai,2024-06-26_21h07.36.403,demoExp_V2,2021.2.3,MacIntel,30.3030303,,,-0.042222222,-0.408888889,1,0,0,image,0.004444444,-0.006666667,0,0,0,group_1/1703.mp4,0.004444444,-0.006666667,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1,192.666,1,2,,,,,,,,,,,,,niwayamakodai,2024-06-26_21h07.36.403,demoExp_V2,2021.2.3,MacIntel,30.3030303,,,,,,,,,0.045555556,-0.15,1,0,0,group_1/1158.mp4,0.002222222,0,1,0,0,1,0,1,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,1,198.3,1,3,,,,,,,,,,,,,niwayamakodai,2024-06-26_21h07.36.403,demoExp_V2,2021.2.3,MacIntel,30.3030303,,,,,,,,,0.036666667,-0.112222222,1,0,0,group_1/1169.mp4,-0.013333333,-0.007777778,1,0,0,2,0,2,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,1,206.835,1,4,,,,,,,,,,,,,niwayamakodai,2024-06-26_21h07.36.403,demoExp_V2,2021.2.3,MacIntel,30.3030303,,,,,,,,,0.03,-0.074444444,1,0,0,group_1/1703.mp4,0.004444444,-0.007777778,1,0,0,3,0,3,0,1,response3disk_2,center_square_2,,
