sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1791.mp4"",""group_1/1292.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/1158.mp4"",""group_1/1292.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/1292.mp4"",""group_1/1071.mp4"",""group_1/1791.mp4"",""group_1/1169.mp4"",""group_1/1292.mp4"",""group_1/0059.mp4"",""group_1/1791.mp4"",""group_1/1375.mp4"",""group_1/1292.mp4"",""group_1/1703.mp4"",""group_1/1791.mp4"",""group_1/1768.mp4"",""group_1/2138.mp4"",""group_1/1703.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/0059.mp4"",""group_1/1158.mp4"",""group_1/1169.mp4"",""group_1/2138.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/0283.mp4"",""group_1/2138.mp4"",""group_1/0927.mp4"",""group_1/1158.mp4"",""group_1/1768.mp4"",""group_1/0927.mp4"",""group_1/1703.mp4"",""group_1/0283.mp4"",""group_1/1375.mp4"",""group_1/0927.mp4"",""group_1/0059.mp4"",""group_1/0283.mp4"",""group_1/1169.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/0283.mp4"",""group_1/1768.mp4"",""group_1/1071.mp4"",""group_1/1703.mp4"",""group_1/1169.mp4"",""group_1/1375.mp4"",""group_1/1071.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/1703.mp4"",""group_1/1375.mp4"",""group_1/1768.mp4"",""group_1/1703.mp4"",""group_1/1375.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/1071.mp4"",""group_1/0283.mp4"",""group_1/0927.mp4"",""group_1/1158.mp4"",""group_1/2138.mp4"",""group_1/1292.mp4"",""group_1/1768.mp4""]",-0.009780093,-0.389847884,1,0,0,image,0.023487103,-0.423821925,1,0,0,image_2,0.015166171,-0.401417824,1,0,0,image,-0.010300926,-0.399346892,1,0,0,image,0.001351687,-0.415959821,1,0,0,image,-0.002835648,-0.000326554,1,0,0,center_square_3,0.7,-0.00526207,-0.005667163,0,0,0,-1,126.6768,1,1,-0.00526207,-0.005667163,0,0,0,0,0,0,0,1,videos/0001.mp4,1,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.057700893,0.135102513,1,0,0,4,131.4761,1,2,-0.002157738,-0.00171131,1,0,0,0,1,1,1,1,videos/0002.mp4,2,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.111611276,-0.063723545,1,0,0,-2,144.5105,1,3,-0.003807044,0.010557209,1,0,0,0,2,2,2,1,videos/0003.mp4,3,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.069233631,-0.109651951,1,0,0,1,157.9231,1,4,-0.003005126,0.015505126,1,0,0,0,3,3,3,1,videos/0004.mp4,4,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.141174769,-0.056907242,1,0,0,-2,167.069,1,5,0.001062335,-0.003277943,1,0,0,0,4,4,4,1,videos/0005.mp4,5,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.12504547,-0.057845569,1,0,0,-2,195.5807,1,6,0.000289352,-0.003691303,1,0,0,0,5,5,5,1,videos/0006.mp4,6,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004249339,0.001054067,1,0,0,center_square_3,0.8,,,,,,3,208.8869,1,1,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,0.002699239,-0.391807209,1,0,0,image,0.009126984,0.003091931,0,0,0,group_1/1791.mp4,0.009126984,0.003091931,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,-2,220.0598,1,2,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,-0.145986276,-0.04212963,1,0,0,group_1/1292.mp4,0.005753968,-0.002290013,1,0,0,1,0,1,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,2,229.5398,1,3,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,0.126984127,-0.047255291,1,0,0,group_1/2138.mp4,-0.001579034,-0.003414352,1,0,0,2,0,2,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,2,236.8717,1,4,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,0.115422454,-0.063417659,1,0,0,group_1/1791.mp4,-0.002029597,-0.004749504,1,0,0,3,0,3,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,245.576,1,5,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,0.078621032,-0.123999669,1,0,0,group_1/1158.mp4,0.00374504,-0.004456019,1,0,0,4,0,4,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,-2,259.593,1,6,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,-0.137776951,-0.053472222,1,0,0,group_1/1292.mp4,0.001926257,-0.000549769,1,0,0,5,0,5,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,-4,267.9303,1,7,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,-0.076070602,0.131014385,1,0,0,group_1/0927.mp4,0.0083292,-0.002261078,1,0,0,6,0,6,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,3,285.8966,1,8,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,0.141848545,0.054873512,1,0,0,group_1/0283.mp4,0.000768849,-0.004571759,1,0,0,7,0,7,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,1,296.5921,1,9,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,0.04358879,-0.124871858,1,0,0,group_1/1292.mp4,-0.003137401,-0.003368882,1,0,0,8,0,8,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1,303.1922,1,10,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,0.056254134,-0.113893022,1,0,0,group_1/1071.mp4,0.016013558,-0.003096065,1,0,0,9,0,9,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,-1,313.1253,1,11,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,-0.060925099,-0.099656911,1,0,0,group_1/1791.mp4,0.009155919,0.014136905,1,0,0,10,0,10,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,-2,320.8458,1,12,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,-0.125806052,-0.059924769,1,0,0,group_1/1169.mp4,0.001351687,-0.004183201,1,0,0,11,0,11,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,1,334.8089,1,13,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,0.052678571,-0.116827877,1,0,0,group_1/1292.mp4,-0.016600529,0.005877976,1,0,0,12,0,12,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,-2,341.3292,1,14,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,-0.176054067,-0.093998016,1,0,0,group_1/0059.mp4,0.010573743,-0.016951885,1,0,0,13,0,13,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-2,347.6801,1,15,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,-0.114517196,-0.067654597,1,0,0,group_1/1791.mp4,-0.010470403,0.00369957,1,0,0,14,0,14,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,-1,359.5118,1,16,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,-0.068146495,-0.122652116,1,0,0,group_1/1375.mp4,0.002054398,0.002397487,1,0,0,15,0,15,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,2,370.7748,1,17,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,0.15082672,-0.058527612,1,0,0,group_1/1292.mp4,0.001579034,0.002724041,1,0,0,16,0,16,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,381.4621,1,18,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,0.141662533,0.065033896,1,0,0,group_1/1703.mp4,-0.002430556,-0.007862103,1,0,0,17,0,17,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,-2,392.0494,1,19,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,-0.0739542,-0.021412037,1,0,0,group_1/1791.mp4,-0.004484954,-0.015352183,1,0,0,18,0,18,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-2,401.2162,1,20,,,,,,,,,,,,,takakiyuri,2024-06-26_21h04.37.492,demoExp_V2,2021.2.3,MacIntel,128.2051282,,,,,,,,,-0.12651703,-0.061846892,1,0,0,group_1/1768.mp4,-0.002455357,-0.011999835,1,0,0,19,0,19,0,1,response5disk_2,center_square_2,,
