sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/1375.mp4"",""group_1/1768.mp4"",""group_1/1071.mp4"",""group_1/0283.mp4"",""group_1/1768.mp4"",""group_1/1791.mp4"",""group_1/1169.mp4"",""group_1/0927.mp4"",""group_1/1768.mp4"",""group_1/1703.mp4"",""group_1/1169.mp4"",""group_1/1292.mp4"",""group_1/1768.mp4"",""group_1/1158.mp4"",""group_1/1169.mp4"",""group_1/2138.mp4"",""group_1/0059.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/1292.mp4"",""group_1/0059.mp4"",""group_1/1703.mp4"",""group_1/1375.mp4"",""group_1/0927.mp4"",""group_1/0059.mp4"",""group_1/1791.mp4"",""group_1/1375.mp4"",""group_1/0283.mp4"",""group_1/0059.mp4"",""group_1/1071.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/0283.mp4"",""group_1/1292.mp4"",""group_1/1071.mp4"",""group_1/1703.mp4"",""group_1/0283.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/1791.mp4"",""group_1/0283.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/1292.mp4"",""group_1/1791.mp4"",""group_1/1703.mp4"",""group_1/0927.mp4"",""group_1/2138.mp4"",""group_1/1703.mp4"",""group_1/1158.mp4"",""group_1/1292.mp4"",""group_1/2138.mp4"",""group_1/1158.mp4"",""group_1/1292.mp4"",""group_1/1703.mp4"",""group_1/0927.mp4"",""group_1/1791.mp4"",""group_1/0283.mp4"",""group_1/1071.mp4"",""group_1/1375.mp4"",""group_1/0059.mp4"",""group_1/1768.mp4"",""group_1/2138.mp4""]",0.017699115,-0.377876106,1,0,0,image,-0.012389381,-0.397345133,1,0,0,image_2,0.026548673,-0.388495575,1,0,0,image,-0.030088496,-0.413274336,1,0,0,image,-0.015929204,-0.40619469,1,0,0,image,0.001769912,0.000884956,1,0,0,center_square_3,0.7,0.001769912,0.000884956,0,0,0,3,101.412,1,1,0.001769912,0.000884956,0,0,0,0,0,0,0,1,videos/0001.mp4,1,Sawayama,2024-06-26_21h05.29.268,demoExp_V2,2021.2.3,iPad,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.10619469,0.192035398,1,0,0,4,111.143,1,2,0,0.011504425,1,0,0,0,1,1,1,1,videos/0002.mp4,2,Sawayama,2024-06-26_21h05.29.268,demoExp_V2,2021.2.3,iPad,58.82352941,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.079646018,-0.181415929,1,0,0,-1,129.325,1,3,0.014159292,0.015044248,1,0,0,0,2,2,2,1,videos/0003.mp4,3,Sawayama,2024-06-26_21h05.29.268,demoExp_V2,2021.2.3,iPad,58.82352941,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-0.09380531,0.169026549,1,0,0,-4,140.174,1,4,-0.007079646,-0.013274336,1,0,0,0,3,3,3,1,videos/0004.mp4,4,Sawayama,2024-06-26_21h05.29.268,demoExp_V2,2021.2.3,iPad,58.82352941,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.09380531,0.190265487,1,0,0,4,150.038,1,5,-0.005309735,-0.007964602,1,0,0,0,4,4,4,1,videos/0005.mp4,5,Sawayama,2024-06-26_21h05.29.268,demoExp_V2,2021.2.3,iPad,58.82352941,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.159292035,0.071681416,1,0,0,-3,167.488,1,6,-0.005309735,0.002654867,1,0,0,0,5,5,5,1,videos/0006.mp4,6,Sawayama,2024-06-26_21h05.29.268,demoExp_V2,2021.2.3,iPad,58.82352941,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005309735,0.015044248,1,0,0,center_square_3,0.6,,,,,,4,184.051,1,1,,,,,,,,,,,,,Sawayama,2024-06-26_21h05.29.268,demoExp_V2,2021.2.3,iPad,58.82352941,,,-0.007079646,-0.402654867,1,0,0,image,0.005309735,0.015044248,0,0,0,group_1/1169.mp4,0.005309735,0.015044248,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,-4,192.886,1,2,,,,,,,,,,,,,Sawayama,2024-06-26_21h05.29.268,demoExp_V2,2021.2.3,iPad,58.82352941,,,,,,,,,-0.083185841,0.190265487,1,0,0,group_1/1768.mp4,-0.007079646,-0.000884956,1,0,0,1,0,1,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,199.135,1,3,,,,,,,,,,,,,Sawayama,2024-06-26_21h05.29.268,demoExp_V2,2021.2.3,iPad,58.82352941,,,,,,,,,0.240707965,0.089380531,1,0,0,group_1/0059.mp4,0.014159292,0.00619469,1,0,0,2,0,2,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,-2,207.386,1,4,,,,,,,,,,,,,Sawayama,2024-06-26_21h05.29.268,demoExp_V2,2021.2.3,iPad,58.82352941,,,,,,,,,-0.192920354,-0.087610619,1,0,0,group_1/1169.mp4,-0.012389381,-0.009734513,1,0,0,3,0,3,0,1,response5disk_2,center_square_2,,
