sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1292.mp4"",""group_1/0927.mp4"",""group_1/2138.mp4"",""group_1/1292.mp4"",""group_1/0283.mp4"",""group_1/0927.mp4"",""group_1/1768.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/1791.mp4"",""group_1/1292.mp4"",""group_1/1375.mp4"",""group_1/0927.mp4"",""group_1/0059.mp4"",""group_1/1292.mp4"",""group_1/1169.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/1292.mp4"",""group_1/1703.mp4"",""group_1/2138.mp4"",""group_1/1071.mp4"",""group_1/0283.mp4"",""group_1/1169.mp4"",""group_1/2138.mp4"",""group_1/0059.mp4"",""group_1/0283.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/0283.mp4"",""group_1/1158.mp4"",""group_1/2138.mp4"",""group_1/1768.mp4"",""group_1/0283.mp4"",""group_1/1703.mp4"",""group_1/1768.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/1768.mp4"",""group_1/1791.mp4"",""group_1/1158.mp4"",""group_1/1703.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/1375.mp4"",""group_1/1169.mp4"",""group_1/1791.mp4"",""group_1/0059.mp4"",""group_1/1375.mp4"",""group_1/1703.mp4"",""group_1/0059.mp4"",""group_1/1071.mp4"",""group_1/1169.mp4"",""group_1/1703.mp4"",""group_1/1071.mp4"",""group_1/1169.mp4"",""group_1/0059.mp4"",""group_1/1375.mp4"",""group_1/1791.mp4"",""group_1/1158.mp4"",""group_1/1768.mp4"",""group_1/0283.mp4"",""group_1/2138.mp4"",""group_1/0927.mp4"",""group_1/1703.mp4""]",0.052952202,-0.392846005,1,0,0,image,0.048578607,-0.371602624,1,0,0,image_2,0.022336808,-0.36847862,1,0,0,image,-0.001405811,-0.337863168,1,0,0,image,-0.00765382,-0.34098723,1,0,0,image,0.000468604,-0.007341494,1,0,0,center_square_3,0.8,0.093564549,-0.01983757,0,0,0,2,55.8752,1,1,0.093564549,-0.01983757,0,0,0,0,0,0,0,1,videos/0001.mp4,1,musokikui,2024-06-26_21h08.32.366,demoExp_V2,2021.2.3,Win32,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.102311797,-0.039831303,1,0,0,2,60.1097,1,2,0.006091846,-0.00671667,1,0,0,0,1,1,1,1,videos/0002.mp4,2,musokikui,2024-06-26_21h08.32.366,demoExp_V2,2021.2.3,Win32,120.4819277,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-0.104498594,-0.04108095,1,0,0,-2,70.232,1,3,0.004217432,0.011402649,1,0,0,0,2,2,2,1,videos/0003.mp4,3,musokikui,2024-06-26_21h08.32.366,demoExp_V2,2021.2.3,Win32,120.4819277,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.046079369,-0.092939725,1,0,0,1,84.2885,1,4,-0.003904992,-0.00546708,1,0,0,0,3,3,3,1,videos/0004.mp4,4,musokikui,2024-06-26_21h08.32.366,demoExp_V2,2021.2.3,Win32,120.4819277,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.08263039,-0.126679182,1,0,0,-1,93.4194,1,5,-0.001405811,-0.002967842,1,0,0,0,4,4,4,1,videos/0005.mp4,5,musokikui,2024-06-26_21h08.32.366,demoExp_V2,2021.2.3,Win32,120.4819277,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.098875351,-0.035457708,1,0,0,-2,107.4659,1,6,-0.001405811,0.002030577,1,0,0,0,5,5,5,1,videos/0006.mp4,6,musokikui,2024-06-26_21h08.32.366,demoExp_V2,2021.2.3,Win32,120.4819277,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002967842,-0.001093427,1,0,0,center_square_3,0.8,,,,,,2,129.1354,1,1,,,,,,,,,,,,,musokikui,2024-06-26_21h08.32.366,demoExp_V2,2021.2.3,Win32,120.4819277,,,0.003592665,-0.390346767,1,0,0,image,0.002967842,-0.001093427,0,0,0,group_1/1292.mp4,0.002967842,-0.001093427,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,-3,135.6588,1,2,,,,,,,,,,,,,musokikui,2024-06-26_21h08.32.366,demoExp_V2,2021.2.3,Win32,120.4819277,,,,,,,,,-0.090128047,0.03014682,1,0,0,group_1/0927.mp4,-0.015151477,0.004529815,1,0,0,1,0,1,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,-3,144.5656,1,3,,,,,,,,,,,,,musokikui,2024-06-26_21h08.32.366,demoExp_V2,2021.2.3,Win32,120.4819277,,,,,,,,,-0.08950328,0.045142134,1,0,0,group_1/2138.mp4,-0.008903468,-0.004842256,1,0,0,2,0,2,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,-3,155.2867,1,4,,,,,,,,,,,,,musokikui,2024-06-26_21h08.32.366,demoExp_V2,2021.2.3,Win32,120.4819277,,,,,,,,,-0.077007147,0.023898782,1,0,0,group_1/1292.mp4,-0.004529815,0.010777882,1,0,0,3,0,3,0,1,response7disk_2,center_square_2,,
