sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1768.mp4"",""group_1/0283.mp4"",""group_1/1292.mp4"",""group_1/1768.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/0283.mp4"",""group_1/1158.mp4"",""group_1/1768.mp4"",""group_1/1375.mp4"",""group_1/0283.mp4"",""group_1/1791.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/0283.mp4"",""group_1/1071.mp4"",""group_1/1768.mp4"",""group_1/1703.mp4"",""group_1/1292.mp4"",""group_1/1071.mp4"",""group_1/0927.mp4"",""group_1/0059.mp4"",""group_1/1292.mp4"",""group_1/1791.mp4"",""group_1/0927.mp4"",""group_1/1375.mp4"",""group_1/1292.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/1169.mp4"",""group_1/1292.mp4"",""group_1/2138.mp4"",""group_1/0927.mp4"",""group_1/1703.mp4"",""group_1/2138.mp4"",""group_1/1071.mp4"",""group_1/1169.mp4"",""group_1/0059.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/1169.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/1158.mp4"",""group_1/1169.mp4"",""group_1/1703.mp4"",""group_1/1158.mp4"",""group_1/1071.mp4"",""group_1/1375.mp4"",""group_1/0059.mp4"",""group_1/1158.mp4"",""group_1/1791.mp4"",""group_1/1375.mp4"",""group_1/1703.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/0059.mp4"",""group_1/1703.mp4"",""group_1/1071.mp4"",""group_1/0059.mp4"",""group_1/1791.mp4"",""group_1/1375.mp4"",""group_1/1158.mp4"",""group_1/1169.mp4"",""group_1/2138.mp4"",""group_1/0927.mp4"",""group_1/1292.mp4"",""group_1/0283.mp4"",""group_1/1703.mp4""]",0.053670635,-0.405795304,1,0,0,image,0.037458664,-0.407957176,1,0,0,image_2,0.026359954,-0.420225694,1,0,0,image,0.022147817,-0.399094742,1,0,0,image,0.022102348,-0.385094246,1,0,0,image,0.001012731,0.000111607,1,0,0,center_square_3,1,0.035181052,0.122003142,0,0,0,4,66.9721,1,1,0.035181052,0.122003142,0,0,0,0,0,0,0,1,videos/0001.mp4,1,takakiyuri,2024-07-04_00h36.02.635,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.158130787,0.056349206,1,0,0,3,70.8965,1,2,0.013678075,-0.003637566,1,0,0,0,1,1,1,1,videos/0002.mp4,2,takakiyuri,2024-07-04_00h36.02.635,demoExp_V2,2021.2.3,MacIntel,120.4819277,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.097767857,-0.040480324,1,0,0,-2,81.0813,1,3,-0.004625496,-0.006510417,1,0,0,0,2,2,2,1,videos/0003.mp4,3,takakiyuri,2024-07-04_00h36.02.635,demoExp_V2,2021.2.3,MacIntel,120.4819277,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.050128142,-0.127703373,1,0,0,-1,91.4645,1,4,0.002376819,-0.008990575,1,0,0,0,3,3,3,1,videos/0004.mp4,4,takakiyuri,2024-07-04_00h36.02.635,demoExp_V2,2021.2.3,MacIntel,120.4819277,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-0.113549934,0.022941468,1,0,0,-3,98.7977,1,5,-0.000954861,-0.005377811,1,0,0,0,4,4,4,1,videos/0005.mp4,5,takakiyuri,2024-07-04_00h36.02.635,demoExp_V2,2021.2.3,MacIntel,120.4819277,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.094754464,-0.038884755,1,0,0,-2,114.4475,1,6,0.00016121,-0.003840112,1,0,0,0,5,5,5,1,videos/0006.mp4,6,takakiyuri,2024-07-04_00h36.02.635,demoExp_V2,2021.2.3,MacIntel,120.4819277,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004298942,0.00240162,1,0,0,center_square_3,1,,,,,,4,130.4007,1,1,,,,,,,,,,,,,takakiyuri,2024-07-04_00h36.02.635,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,-0.051901455,-0.406898975,1,0,0,image,0.013975694,0.161288856,0,0,0,group_1/1768.mp4,0.013975694,0.161288856,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,2,148.4155,1,2,,,,,,,,,,,,,takakiyuri,2024-07-04_00h36.02.635,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,,,,,,,0.142199901,-0.032791832,1,0,0,group_1/0283.mp4,0.006407077,-0.00073578,1,0,0,1,0,1,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,159.2639,1,3,,,,,,,,,,,,,takakiyuri,2024-07-04_00h36.02.635,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,,,,,,,0.063740079,-0.028455688,1,0,0,group_1/1292.mp4,-0.007758763,-0.005328208,1,0,0,2,0,2,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,166.9388,1,4,,,,,,,,,,,,,takakiyuri,2024-07-04_00h36.02.635,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,,,,,,,0.154141865,0.102323082,1,0,0,group_1/1768.mp4,-0.014781746,-0.000529101,1,0,0,3,0,3,0,1,response1disk_2,center_square_2,,
