sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1071.mp4"",""group_1/1169.mp4"",""group_1/2138.mp4"",""group_1/1071.mp4"",""group_1/1791.mp4"",""group_1/1169.mp4"",""group_1/1375.mp4"",""group_1/1158.mp4"",""group_1/1169.mp4"",""group_1/1292.mp4"",""group_1/1071.mp4"",""group_1/0927.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/1071.mp4"",""group_1/0283.mp4"",""group_1/1169.mp4"",""group_1/0059.mp4"",""group_1/1071.mp4"",""group_1/1703.mp4"",""group_1/2138.mp4"",""group_1/0059.mp4"",""group_1/1791.mp4"",""group_1/0283.mp4"",""group_1/2138.mp4"",""group_1/1768.mp4"",""group_1/1791.mp4"",""group_1/0927.mp4"",""group_1/2138.mp4"",""group_1/1292.mp4"",""group_1/1791.mp4"",""group_1/1158.mp4"",""group_1/2138.mp4"",""group_1/1375.mp4"",""group_1/1791.mp4"",""group_1/1703.mp4"",""group_1/1375.mp4"",""group_1/0059.mp4"",""group_1/1158.mp4"",""group_1/0283.mp4"",""group_1/1375.mp4"",""group_1/1768.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/1375.mp4"",""group_1/1292.mp4"",""group_1/1158.mp4"",""group_1/1703.mp4"",""group_1/1292.mp4"",""group_1/0059.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/1292.mp4"",""group_1/1768.mp4"",""group_1/0927.mp4"",""group_1/1703.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/0283.mp4"",""group_1/1703.mp4"",""group_1/0059.mp4"",""group_1/0283.mp4"",""group_1/1768.mp4"",""group_1/0927.mp4"",""group_1/1292.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/1791.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/1703.mp4""]",0.00257732,-0.421391753,1,0,0,image,0.024484536,-0.422680412,1,0,0,image_2,0.032216495,-0.418814433,1,0,0,image,0.036082474,-0.393041237,1,0,0,image,0.00128866,-0.412371134,1,0,0,image,0.00257732,0.007731959,1,0,0,center_square_3,1,0.00257732,0.007731959,0,0,0,4,59.868,1,1,0.00257732,0.007731959,0,0,0,0,0,0,0,1,videos/0001.mp4,1,ayu,2024-06-26_20h44.14.928,demoExp_V2,2021.2.3,MacIntel,45.45454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.18814433,0.055412371,1,0,0,3,64.973,1,2,0.005154639,0.006443299,1,0,0,0,1,1,1,1,videos/0002.mp4,2,ayu,2024-06-26_20h44.14.928,demoExp_V2,2021.2.3,MacIntel,45.45454545,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.085051546,0.18814433,1,0,0,4,76.954,1,3,-0.005154639,0.016752577,1,0,0,0,2,2,2,1,videos/0003.mp4,3,ayu,2024-06-26_20h44.14.928,demoExp_V2,2021.2.3,MacIntel,45.45454545,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.085051546,0.12242268,1,0,0,-4,98.234,1,4,-0.003865979,0.007731959,1,0,0,0,3,3,3,1,videos/0004.mp4,4,ayu,2024-06-26_20h44.14.928,demoExp_V2,2021.2.3,MacIntel,45.45454545,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.056701031,0.145618557,1,0,0,-4,108.984,1,5,0.00128866,0.006443299,1,0,0,0,4,4,4,1,videos/0005.mp4,5,ayu,2024-06-26_20h44.14.928,demoExp_V2,2021.2.3,MacIntel,45.45454545,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.059278351,0.162371134,1,0,0,-4,123.553,1,6,-0.012886598,0,1,0,0,0,5,5,5,1,videos/0006.mp4,6,ayu,2024-06-26_20h44.14.928,demoExp_V2,2021.2.3,MacIntel,45.45454545,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009020619,0.006443299,1,0,0,center_square_3,0.6,,,,,,-3,142.161,1,1,,,,,,,,,,,,,ayu,2024-06-26_20h44.14.928,demoExp_V2,2021.2.3,MacIntel,45.45454545,,,0.00128866,-0.417525773,1,0,0,image,-0.009020619,0.006443299,0,0,0,group_1/1071.mp4,-0.009020619,0.006443299,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,-3,147.218,1,2,,,,,,,,,,,,,ayu,2024-06-26_20h44.14.928,demoExp_V2,2021.2.3,MacIntel,45.45454545,,,,,,,,,-0.12628866,0.046391753,1,0,0,group_1/1169.mp4,-0.006443299,-0.00128866,1,0,0,1,0,1,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,-3,157.786,1,3,,,,,,,,,,,,,ayu,2024-06-26_20h44.14.928,demoExp_V2,2021.2.3,MacIntel,45.45454545,,,,,,,,,-0.128865979,0.045103093,1,0,0,group_1/2138.mp4,0.005154639,0.006443299,1,0,0,2,0,2,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,-3,163.335,1,4,,,,,,,,,,,,,ayu,2024-06-26_20h44.14.928,demoExp_V2,2021.2.3,MacIntel,45.45454545,,,,,,,,,-0.137886598,0.048969072,1,0,0,group_1/1071.mp4,-0.015463918,0.007731959,1,0,0,3,0,3,0,1,response7disk_2,center_square_2,,
