sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1703.mp4"",""group_1/0059.mp4"",""group_1/1158.mp4"",""group_1/1703.mp4"",""group_1/1292.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/0927.mp4"",""group_1/0059.mp4"",""group_1/1071.mp4"",""group_1/1703.mp4"",""group_1/2138.mp4"",""group_1/0059.mp4"",""group_1/1768.mp4"",""group_1/1703.mp4"",""group_1/0283.mp4"",""group_1/0059.mp4"",""group_1/1791.mp4"",""group_1/1703.mp4"",""group_1/1375.mp4"",""group_1/1158.mp4"",""group_1/1791.mp4"",""group_1/1292.mp4"",""group_1/0283.mp4"",""group_1/1158.mp4"",""group_1/1768.mp4"",""group_1/1292.mp4"",""group_1/2138.mp4"",""group_1/1158.mp4"",""group_1/1071.mp4"",""group_1/1292.mp4"",""group_1/0927.mp4"",""group_1/1158.mp4"",""group_1/1169.mp4"",""group_1/1292.mp4"",""group_1/1375.mp4"",""group_1/1169.mp4"",""group_1/1791.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/0927.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/1071.mp4"",""group_1/0927.mp4"",""group_1/1375.mp4"",""group_1/1071.mp4"",""group_1/1791.mp4"",""group_1/2138.mp4"",""group_1/0283.mp4"",""group_1/1071.mp4"",""group_1/1768.mp4"",""group_1/2138.mp4"",""group_1/1375.mp4"",""group_1/1768.mp4"",""group_1/1791.mp4"",""group_1/0283.mp4"",""group_1/1375.mp4"",""group_1/1791.mp4"",""group_1/0283.mp4"",""group_1/1768.mp4"",""group_1/2138.mp4"",""group_1/1071.mp4"",""group_1/0927.mp4"",""group_1/1169.mp4"",""group_1/1292.mp4"",""group_1/1158.mp4"",""group_1/0059.mp4"",""group_1/1375.mp4""]",0.009160053,-0.412103175,1,0,0,image,-0.019857804,-0.384705688,1,0,0,image_2,-0.019857804,-0.384705688,1,0,0,image,-0.024499835,-0.407291667,1,0,0,image,-0.003687169,-0.392423115,1,0,0,image,0.005700231,0.014095569,1,0,0,center_square_3,0.9,0.005700231,0.014095569,0,0,0,4,62.1523,1,1,0.005700231,0.014095569,0,0,0,0,0,0,0,1,videos/0001.mp4,1,ryoheinakayama,2024-06-26_21h04.50.807,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.103058862,0.029761905,1,0,0,3,66.3024,1,2,0.003939319,-0.00135582,1,0,0,0,1,1,1,1,videos/0002.mp4,2,ryoheinakayama,2024-06-26_21h04.50.807,demoExp_V2,2021.2.3,MacIntel,120.4819277,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.157196594,0.034738757,1,0,0,3,79.1544,1,3,-0.007324735,-0.006291336,1,0,0,0,2,2,2,1,videos/0003.mp4,3,ryoheinakayama,2024-06-26_21h04.50.807,demoExp_V2,2021.2.3,MacIntel,120.4819277,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.167737269,0.097052745,1,0,0,3,155.4708,1,4,0.009416336,-0.014169974,1,0,0,0,3,3,3,1,videos/0004.mp4,4,ryoheinakayama,2024-06-26_21h04.50.807,demoExp_V2,2021.2.3,MacIntel,120.4819277,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.133829365,0.039442791,1,0,0,3,169.0955,1,5,-0.004389881,-0.002864583,1,0,0,0,4,4,4,1,videos/0005.mp4,5,ryoheinakayama,2024-06-26_21h04.50.807,demoExp_V2,2021.2.3,MacIntel,120.4819277,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.153451554,-0.075909392,1,0,0,2,184.3536,1,6,-0.01661293,-0.001289683,1,0,0,0,5,5,5,1,videos/0006.mp4,6,ryoheinakayama,2024-06-26_21h04.50.807,demoExp_V2,2021.2.3,MacIntel,120.4819277,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010284392,0.008556548,1,0,0,center_square_3,0.5,,,,,,3,199.9407,1,1,,,,,,,,,,,,,ryoheinakayama,2024-06-26_21h04.50.807,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,-0.036429398,-0.386789021,1,0,0,image,0.010284392,0.008556548,0,0,0,group_1/1703.mp4,0.010284392,0.008556548,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,205.4203,1,2,,,,,,,,,,,,,ryoheinakayama,2024-06-26_21h04.50.807,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,,,,,,,0.095275298,0.046436839,1,0,0,group_1/0059.mp4,-0.000921792,-0.013653274,1,0,0,1,0,1,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,-4,214.6611,1,3,,,,,,,,,,,,,ryoheinakayama,2024-06-26_21h04.50.807,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,,,,,,,-0.054679233,0.111772487,1,0,0,group_1/1158.mp4,0.001554233,-0.016067295,1,0,0,2,0,2,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,223.1198,1,4,,,,,,,,,,,,,ryoheinakayama,2024-06-26_21h04.50.807,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,,,,,,,0.064897487,0.092724868,1,0,0,group_1/1703.mp4,0.006708829,0.002451224,1,0,0,3,0,3,0,1,response1disk_2,center_square_2,,
