sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1375.mp4"",""group_1/1071.mp4"",""group_1/1791.mp4"",""group_1/1375.mp4"",""group_1/1169.mp4"",""group_1/1071.mp4"",""group_1/0059.mp4"",""group_1/0283.mp4"",""group_1/1071.mp4"",""group_1/1292.mp4"",""group_1/1375.mp4"",""group_1/1768.mp4"",""group_1/1071.mp4"",""group_1/1703.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/1071.mp4"",""group_1/0927.mp4"",""group_1/1375.mp4"",""group_1/1158.mp4"",""group_1/1791.mp4"",""group_1/0927.mp4"",""group_1/1169.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/1703.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/1791.mp4"",""group_1/1292.mp4"",""group_1/1169.mp4"",""group_1/0283.mp4"",""group_1/1791.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/1158.mp4"",""group_1/0059.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/2138.mp4"",""group_1/0059.mp4"",""group_1/1703.mp4"",""group_1/0283.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/1292.mp4"",""group_1/0283.mp4"",""group_1/1158.mp4"",""group_1/1292.mp4"",""group_1/0927.mp4"",""group_1/1768.mp4"",""group_1/2138.mp4"",""group_1/1292.mp4"",""group_1/1703.mp4"",""group_1/1768.mp4"",""group_1/1158.mp4"",""group_1/1703.mp4"",""group_1/0927.mp4"",""group_1/2138.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/2138.mp4"",""group_1/1703.mp4"",""group_1/1768.mp4"",""group_1/1292.mp4"",""group_1/0283.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4""]",-0.000925869,-0.425925954,1,0,0,image,0.001851908,-0.385185242,1,0,0,image_2,0.001851908,-0.385185242,1,0,0,image,0.05648151,-0.409259288,1,0,0,image,0.047222222,-0.408333333,1,0,0,image,-0.006481425,0.006481467,1,0,0,center_square_3,0.9,0.010185242,0.006481467,0,0,0,3,150.9357,1,1,0.010185242,0.006481467,0,0,0,0,0,0,0,1,videos/0001.mp4,1,showatanabe,2024-06-26_21h02.58.527,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.124074131,-0.055555556,1,0,0,2,155.6983,1,2,-0.009259203,0.006481467,1,0,0,0,1,1,1,1,videos/0002.mp4,2,showatanabe,2024-06-26_21h02.58.527,demoExp_V2,2021.2.3,Win32,59.88023952,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.054629686,0.147222222,1,0,0,4,167.1669,1,3,-0.009259203,0.00370369,1,0,0,0,2,2,2,1,videos/0003.mp4,3,showatanabe,2024-06-26_21h02.58.527,demoExp_V2,2021.2.3,Win32,59.88023952,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.1,0.00370369,1,0,0,3,180.9165,1,4,-0.012962935,0.012037023,1,0,0,0,3,3,3,1,videos/0004.mp4,4,showatanabe,2024-06-26_21h02.58.527,demoExp_V2,2021.2.3,Win32,59.88023952,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.105555556,0.02870369,1,0,0,3,191.9491,1,5,-0.001851824,-0.00648151,1,0,0,0,4,4,4,1,videos/0005.mp4,5,showatanabe,2024-06-26_21h02.58.527,demoExp_V2,2021.2.3,Win32,59.88023952,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.092592536,-0.029629644,1,0,0,-2,213.0147,1,6,-0.001851824,0.013888889,1,0,0,0,5,5,5,1,videos/0006.mp4,6,showatanabe,2024-06-26_21h02.58.527,demoExp_V2,2021.2.3,Win32,59.88023952,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001851908,-0.012037065,1,0,0,center_square_3,0.5,,,,,,1,229.3233,1,1,,,,,,,,,,,,,showatanabe,2024-06-26_21h02.58.527,demoExp_V2,2021.2.3,Win32,59.88023952,,,-0.025925869,-0.389814843,1,0,0,image,0.001851908,-0.012037065,0,0,0,group_1/1375.mp4,0.001851908,-0.012037065,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,-4,234.9808,1,2,,,,,,,,,,,,,showatanabe,2024-06-26_21h02.58.527,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,-0.044444444,0.111111111,1,0,0,group_1/1071.mp4,0.005555556,0.002777778,1,0,0,1,0,1,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,-4,242.3129,1,3,,,,,,,,,,,,,showatanabe,2024-06-26_21h02.58.527,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,-0.025925869,0.07870369,1,0,0,group_1/1791.mp4,0,0.00370369,1,0,0,2,0,2,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-4,251.9126,1,4,,,,,,,,,,,,,showatanabe,2024-06-26_21h02.58.527,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,-0.032407379,0.088888889,1,0,0,group_1/1375.mp4,-0.002777778,-0.004629644,1,0,0,3,0,3,0,1,response7disk_2,center_square_2,,
