sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1292.mp4"",""group_1/0283.mp4"",""group_1/1703.mp4"",""group_1/1292.mp4"",""group_1/2138.mp4"",""group_1/0283.mp4"",""group_1/1071.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/1768.mp4"",""group_1/1292.mp4"",""group_1/0059.mp4"",""group_1/0283.mp4"",""group_1/1158.mp4"",""group_1/1292.mp4"",""group_1/1169.mp4"",""group_1/0283.mp4"",""group_1/1375.mp4"",""group_1/1292.mp4"",""group_1/1791.mp4"",""group_1/1703.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/1703.mp4"",""group_1/1158.mp4"",""group_1/2138.mp4"",""group_1/0059.mp4"",""group_1/1703.mp4"",""group_1/1768.mp4"",""group_1/2138.mp4"",""group_1/0927.mp4"",""group_1/1703.mp4"",""group_1/1071.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/1375.mp4"",""group_1/0927.mp4"",""group_1/1169.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/0059.mp4"",""group_1/1071.mp4"",""group_1/1768.mp4"",""group_1/0927.mp4"",""group_1/1791.mp4"",""group_1/1768.mp4"",""group_1/1375.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/1158.mp4"",""group_1/0059.mp4"",""group_1/1791.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/1169.mp4"",""group_1/1791.mp4"",""group_1/1375.mp4"",""group_1/1169.mp4"",""group_1/1158.mp4"",""group_1/0059.mp4"",""group_1/1768.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/2138.mp4"",""group_1/1703.mp4"",""group_1/0283.mp4"",""group_1/1791.mp4""]",0.087962963,-0.383333333,1,0,0,image,0.074074074,-0.386111111,1,0,0,image_2,0.074074074,-0.386111111,1,0,0,image,-0.062962963,-0.362037037,1,0,0,image,0.006481481,-0.384259259,1,0,0,image,-0.015740741,0.000925926,1,0,0,center_square_3,0.9,0.084259259,0.143518519,0,0,0,4,102.5026,1,1,0.084259259,0.143518519,0,0,0,0,0,0,0,1,videos/0001.mp4,1,musokikui,2024-06-26_09h28.25.061,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.137962963,-0.048148148,1,0,0,2,108.4036,1,2,0.011111111,0.002777778,1,0,0,0,1,1,1,1,videos/0002.mp4,2,musokikui,2024-06-26_09h28.25.061,demoExp_V2,2021.2.3,Win32,59.88023952,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.135185185,-0.094444444,1,0,0,-2,123.7304,1,3,0.006481481,-0.005555556,1,0,0,0,2,2,2,1,videos/0003.mp4,3,musokikui,2024-06-26_09h28.25.061,demoExp_V2,2021.2.3,Win32,59.88023952,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.031481481,-0.171296296,1,0,0,1,133.9303,1,4,0.003703704,0.00462963,1,0,0,0,3,3,3,1,videos/0004.mp4,4,musokikui,2024-06-26_09h28.25.061,demoExp_V2,2021.2.3,Win32,59.88023952,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.057407407,0.021296296,1,0,0,-3,144.1636,1,5,-0.001851852,-0.001851852,1,0,0,0,4,4,4,1,videos/0005.mp4,5,musokikui,2024-06-26_09h28.25.061,demoExp_V2,2021.2.3,Win32,59.88023952,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.050925926,-0.157407407,1,0,0,-1,157.931,1,6,0.006481481,-0.009259259,1,0,0,0,5,5,5,1,videos/0006.mp4,6,musokikui,2024-06-26_09h28.25.061,demoExp_V2,2021.2.3,Win32,59.88023952,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005555556,0.002777778,1,0,0,center_square_3,0.7,,,,,,3,179.4143,1,1,,,,,,,,,,,,,musokikui,2024-06-26_09h28.25.061,demoExp_V2,2021.2.3,Win32,59.88023952,,,-0.006481481,-0.411111111,1,0,0,image,0.005555556,0.002777778,0,0,0,group_1/1292.mp4,0.005555556,0.002777778,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,197.9298,1,2,,,,,,,,,,,,,musokikui,2024-06-26_09h28.25.061,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,0.016666667,-0.118518519,1,0,0,group_1/0283.mp4,0.010185185,0.001851852,1,0,0,1,0,1,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,-3,210.0137,1,3,,,,,,,,,,,,,musokikui,2024-06-26_09h28.25.061,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,-0.108333333,0.030555556,1,0,0,group_1/1703.mp4,0.002777778,-0.009259259,1,0,0,2,0,2,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,1,230.6122,1,4,,,,,,,,,,,,,musokikui,2024-06-26_09h28.25.061,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,0.013888889,-0.140740741,1,0,0,group_1/1292.mp4,0.010185185,0.002777778,1,0,0,3,0,3,0,1,response3disk_2,center_square_2,,
