sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/0927.mp4"",""group_1/1292.mp4"",""group_1/2138.mp4"",""group_1/0927.mp4"",""group_1/1768.mp4"",""group_1/1292.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/1292.mp4"",""group_1/1169.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/1292.mp4"",""group_1/1703.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/1292.mp4"",""group_1/1791.mp4"",""group_1/0927.mp4"",""group_1/0059.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/1768.mp4"",""group_1/1071.mp4"",""group_1/2138.mp4"",""group_1/1703.mp4"",""group_1/1768.mp4"",""group_1/0283.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/1158.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/1158.mp4"",""group_1/1791.mp4"",""group_1/1375.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/1703.mp4"",""group_1/1375.mp4"",""group_1/0283.mp4"",""group_1/1158.mp4"",""group_1/1169.mp4"",""group_1/1375.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/1791.mp4"",""group_1/0283.mp4"",""group_1/1071.mp4"",""group_1/1169.mp4"",""group_1/1703.mp4"",""group_1/0283.mp4"",""group_1/0059.mp4"",""group_1/1703.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/0059.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/1703.mp4"",""group_1/0283.mp4"",""group_1/1169.mp4"",""group_1/1375.mp4"",""group_1/1158.mp4"",""group_1/1768.mp4"",""group_1/2138.mp4"",""group_1/1292.mp4"",""group_1/0059.mp4""]",0.062963019,-0.446296353,1,0,0,image,0.027314843,-0.395833333,1,0,0,image_2,0.069444444,-0.405555556,1,0,0,image,0.011574131,-0.425463019,1,0,0,image,0.020370399,-0.378703732,1,0,0,image,-0.005555556,-0.003703732,1,0,0,center_square_3,0.8,0.015740797,-0.148611111,0,0,0,1,54.0726,1,1,0.015740797,-0.148611111,0,0,0,0,0,0,0,1,videos/0001.mp4,1,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.075,0.186111111,1,0,0,4,58.8194,1,2,0.004629686,-0.002777778,1,0,0,0,1,1,1,1,videos/0002.mp4,2,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.102314843,0.047685157,1,0,0,3,70.87,1,3,0.008796353,0.004166667,1,0,0,0,2,2,2,1,videos/0003.mp4,3,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.051851908,-0.144907422,1,0,0,1,84.1033,1,4,-0.010648092,-0.003703732,1,0,0,0,3,3,3,1,videos/0004.mp4,4,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.094907379,-0.056944444,1,0,0,-2,93.8866,1,5,0.00648151,-0.016203732,1,0,0,0,4,4,4,1,videos/0005.mp4,5,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.099536981,-0.009722222,1,0,0,-2,108.0041,1,6,0.012963019,0,1,0,0,0,5,5,5,1,videos/0006.mp4,6,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004629686,-0.010648176,1,0,0,center_square_3,1,,,,,,1,125.889,1,1,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,0.045370399,-0.381944444,1,0,0,image,0.004629686,-0.010648176,0,0,0,group_1/0927.mp4,0.004629686,-0.010648176,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,-3,135.7371,1,2,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,-0.117592536,0.039351824,1,0,0,group_1/1292.mp4,0.007407464,-0.003703732,1,0,0,1,0,1,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,-3,144.3021,1,3,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,-0.093981425,0.0375,1,0,0,group_1/2138.mp4,0.009259288,-0.010185199,1,0,0,2,0,2,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,152.6199,1,4,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,0.080092621,-0.135185199,1,0,0,group_1/0927.mp4,0.003240797,-0.002314843,1,0,0,3,0,3,0,1,response3disk_2,center_square_2,,
