sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/0283.mp4"",""group_1/1791.mp4"",""group_1/0059.mp4"",""group_1/0283.mp4"",""group_1/1071.mp4"",""group_1/1791.mp4"",""group_1/0927.mp4"",""group_1/1703.mp4"",""group_1/1791.mp4"",""group_1/1768.mp4"",""group_1/0283.mp4"",""group_1/1375.mp4"",""group_1/1791.mp4"",""group_1/1169.mp4"",""group_1/0283.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/1292.mp4"",""group_1/0283.mp4"",""group_1/1158.mp4"",""group_1/0059.mp4"",""group_1/1292.mp4"",""group_1/1071.mp4"",""group_1/2138.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/1071.mp4"",""group_1/1375.mp4"",""group_1/0059.mp4"",""group_1/1768.mp4"",""group_1/1071.mp4"",""group_1/1703.mp4"",""group_1/0059.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/1292.mp4"",""group_1/1703.mp4"",""group_1/2138.mp4"",""group_1/0927.mp4"",""group_1/1169.mp4"",""group_1/1703.mp4"",""group_1/1375.mp4"",""group_1/0927.mp4"",""group_1/1768.mp4"",""group_1/1703.mp4"",""group_1/1158.mp4"",""group_1/1768.mp4"",""group_1/1292.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/1768.mp4"",""group_1/1169.mp4"",""group_1/1375.mp4"",""group_1/1158.mp4"",""group_1/1169.mp4"",""group_1/1292.mp4"",""group_1/2138.mp4"",""group_1/1158.mp4"",""group_1/1292.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/1375.mp4"",""group_1/1768.mp4"",""group_1/1703.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/0059.mp4"",""group_1/1791.mp4"",""group_1/1158.mp4""]",0.052952202,-0.370353034,1,0,0,image,0.02108716,-0.447204018,1,0,0,image_2,0.037332122,-0.41721339,1,0,0,image,0.021711984,-0.435957532,1,0,0,image,-0.001405811,-0.379725105,1,0,0,image,0.000468604,-0.001093427,1,0,0,center_square_3,0.6,0.000468604,-0.001093427,0,0,0,1,67.8454,1,1,0.000468604,-0.001093427,0,0,0,0,0,0,0,1,videos/0001.mp4,1,AndrewMilton,2024-06-13_12h26.21.471,demoExp_V2,2021.2.3,Win32,243.902439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.031084055,0.14073726,1,0,0,4,85.6038,1,2,-0.012652296,-0.001718251,1,0,0,0,1,1,1,1,videos/0002.mp4,2,AndrewMilton,2024-06-13_12h26.21.471,demoExp_V2,2021.2.3,Win32,243.902439,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.132927248,0.033270853,1,0,0,3,99.4377,1,3,0.004842256,0.00640423,1,0,0,0,2,2,2,1,videos/0003.mp4,3,AndrewMilton,2024-06-13_12h26.21.471,demoExp_V2,2021.2.3,Win32,243.902439,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.170727859,0.047641343,1,0,0,-3,112.1837,1,4,0.001718251,-0.001093427,1,0,0,0,3,3,3,1,videos/0004.mp4,4,AndrewMilton,2024-06-13_12h26.21.471,demoExp_V2,2021.2.3,Win32,243.902439,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.154482955,0.043892515,1,0,0,-3,145.3457,1,5,0.000468604,0.015151477,1,0,0,0,4,4,4,1,videos/0005.mp4,5,AndrewMilton,2024-06-13_12h26.21.471,demoExp_V2,2021.2.3,Win32,243.902439,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.098875351,0.070134314,1,0,0,-3,165.1025,1,6,-0.000156163,-0.00671667,1,0,0,0,5,5,5,1,videos/0006.mp4,6,AndrewMilton,2024-06-13_12h26.21.471,demoExp_V2,2021.2.3,Win32,243.902439,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010465499,-0.003592665,1,0,0,center_square_3,0.7,,,,,,2,192.9507,1,1,,,,,,,,,,,,,AndrewMilton,2024-06-13_12h26.21.471,demoExp_V2,2021.2.3,Win32,243.902439,,,0.012964737,-0.380349929,1,0,0,image,0.010465499,-0.003592665,0,0,0,group_1/0283.mp4,0.010465499,-0.003592665,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,-2,205.5037,1,2,,,,,,,,,,,,,AndrewMilton,2024-06-13_12h26.21.471,demoExp_V2,2021.2.3,Win32,243.902439,,,,,,,,,-0.136363636,-0.025460813,1,0,0,group_1/1791.mp4,-0.015151477,0.008278644,1,0,0,1,0,1,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,-3,212.979,1,3,,,,,,,,,,,,,AndrewMilton,2024-06-13_12h26.21.471,demoExp_V2,2021.2.3,Win32,243.902439,,,,,,,,,-0.093252109,0.018275539,1,0,0,group_1/0059.mp4,0.001093427,-0.007341494,1,0,0,2,0,2,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-1,235.1907,1,4,,,,,,,,,,,,,AndrewMilton,2024-06-13_12h26.21.471,demoExp_V2,2021.2.3,Win32,243.902439,,,,,,,,,-0.028897201,-0.121680763,1,0,0,group_1/0283.mp4,0.012964737,0.007029053,1,0,0,3,0,3,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,-4,245.312,1,5,,,,,,,,,,,,,AndrewMilton,2024-06-13_12h26.21.471,demoExp_V2,2021.2.3,Win32,243.902439,,,,,,,,,-0.070134314,0.090752871,1,0,0,group_1/1071.mp4,0.012339913,-0.002967842,1,0,0,4,0,4,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,1,255.5089,1,6,,,,,,,,,,,,,AndrewMilton,2024-06-13_12h26.21.471,demoExp_V2,2021.2.3,Win32,243.902439,,,,,,,,,0.031084055,-0.12917842,1,0,0,group_1/1791.mp4,-0.00640423,0.002030577,1,0,0,5,0,5,0,1,response3disk_2,center_square_2,,
