sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1768.mp4"",""group_1/1169.mp4"",""group_1/0283.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/2138.mp4"",""group_1/1292.mp4"",""group_1/1169.mp4"",""group_1/1791.mp4"",""group_1/1768.mp4"",""group_1/1158.mp4"",""group_1/1169.mp4"",""group_1/1071.mp4"",""group_1/1768.mp4"",""group_1/0927.mp4"",""group_1/1169.mp4"",""group_1/1703.mp4"",""group_1/1768.mp4"",""group_1/1375.mp4"",""group_1/0283.mp4"",""group_1/1703.mp4"",""group_1/0059.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/1071.mp4"",""group_1/0059.mp4"",""group_1/1158.mp4"",""group_1/0283.mp4"",""group_1/1791.mp4"",""group_1/0059.mp4"",""group_1/1292.mp4"",""group_1/0283.mp4"",""group_1/2138.mp4"",""group_1/0059.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/1703.mp4"",""group_1/1292.mp4"",""group_1/0927.mp4"",""group_1/2138.mp4"",""group_1/1071.mp4"",""group_1/1292.mp4"",""group_1/1158.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/1292.mp4"",""group_1/1375.mp4"",""group_1/1791.mp4"",""group_1/1703.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/1071.mp4"",""group_1/1703.mp4"",""group_1/0927.mp4"",""group_1/1375.mp4"",""group_1/1703.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/1791.mp4"",""group_1/1292.mp4"",""group_1/2138.mp4"",""group_1/0059.mp4"",""group_1/0283.mp4"",""group_1/1169.mp4"",""group_1/1375.mp4""]",0.05625,-0.426875,1,0,0,image,0.013125,-0.391875,1,0,0,image_2,0.00625,-0.370625,1,0,0,image,-0.008125,-0.400625,1,0,0,image,0.0025,-0.39875,1,0,0,image,-0.003125,0.003125,1,0,0,center_square_3,0.8,-0.003125,0.003125,0,0,0,-3,57.1944,1,1,-0.003125,0.003125,0,0,0,0,0,0,0,1,videos/0001.mp4,1,ayu,2024-07-01_16h58.33.404,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.08375,0.11,1,0,0,4,64.3329,1,2,0,0.003125,1,0,0,0,1,1,1,1,videos/0002.mp4,2,ayu,2024-07-01_16h58.33.404,demoExp_V2,2021.2.3,Win32,59.88023952,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.084375,0.1125,1,0,0,-4,77.4002,1,3,-0.0075,0.011875,1,0,0,0,2,2,2,1,videos/0003.mp4,3,ayu,2024-07-01_16h58.33.404,demoExp_V2,2021.2.3,Win32,59.88023952,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.1325,0.039375,1,0,0,-3,88.6682,1,4,-0.010625,0,1,0,0,0,3,3,3,1,videos/0004.mp4,4,ayu,2024-07-01_16h58.33.404,demoExp_V2,2021.2.3,Win32,59.88023952,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.121875,-0.048125,1,0,0,-2,98.4527,1,5,0.00375,0.005625,1,0,0,0,4,4,4,1,videos/0005.mp4,5,ayu,2024-07-01_16h58.33.404,demoExp_V2,2021.2.3,Win32,59.88023952,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.11875,0.039375,1,0,0,-3,112.3039,1,6,0,0,1,0,0,0,5,5,5,1,videos/0006.mp4,6,ayu,2024-07-01_16h58.33.404,demoExp_V2,2021.2.3,Win32,59.88023952,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004375,-0.010625,1,0,0,center_square_3,1,,,,,,1,128.217,1,1,,,,,,,,,,,,,ayu,2024-07-01_16h58.33.404,demoExp_V2,2021.2.3,Win32,59.88023952,,,-0.005625,-0.34625,1,0,0,image,0.01125,-0.035,0,0,0,group_1/1768.mp4,0.01125,-0.035,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,137.0567,1,2,,,,,,,,,,,,,ayu,2024-07-01_16h58.33.404,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,0.0075,-0.1125,1,0,0,group_1/1169.mp4,-0.005625,-0.014375,1,0,0,1,0,1,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-3,155.8915,1,3,,,,,,,,,,,,,ayu,2024-07-01_16h58.33.404,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,-0.099375,0.01375,1,0,0,group_1/0283.mp4,-0.006875,-0.00125,1,0,0,2,0,2,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,2,163.0423,1,4,,,,,,,,,,,,,ayu,2024-07-01_16h58.33.404,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,0.1475,-0.0525,1,0,0,group_1/1768.mp4,0.001875,-0.000625,1,0,0,3,0,3,0,1,response3disk_2,center_square_2,,
