sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/0283.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/1703.mp4"",""group_1/1158.mp4"",""group_1/0059.mp4"",""group_1/1169.mp4"",""group_1/1158.mp4"",""group_1/1071.mp4"",""group_1/0283.mp4"",""group_1/1768.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/0283.mp4"",""group_1/1292.mp4"",""group_1/1158.mp4"",""group_1/2138.mp4"",""group_1/0283.mp4"",""group_1/1791.mp4"",""group_1/0927.mp4"",""group_1/2138.mp4"",""group_1/1703.mp4"",""group_1/1292.mp4"",""group_1/0927.mp4"",""group_1/1375.mp4"",""group_1/1703.mp4"",""group_1/1768.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/1703.mp4"",""group_1/1169.mp4"",""group_1/0927.mp4"",""group_1/0059.mp4"",""group_1/1703.mp4"",""group_1/1791.mp4"",""group_1/0059.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/1292.mp4"",""group_1/0059.mp4"",""group_1/1375.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/1071.mp4"",""group_1/1169.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/2138.mp4"",""group_1/1768.mp4"",""group_1/1292.mp4"",""group_1/1071.mp4"",""group_1/1375.mp4"",""group_1/1768.mp4"",""group_1/1791.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/1292.mp4"",""group_1/1791.mp4"",""group_1/2138.mp4"",""group_1/1292.mp4"",""group_1/1375.mp4"",""group_1/1768.mp4"",""group_1/1071.mp4"",""group_1/1169.mp4"",""group_1/0059.mp4"",""group_1/1703.mp4"",""group_1/0927.mp4"",""group_1/1158.mp4"",""group_1/1791.mp4""]",0.028703704,-0.383333333,1,0,0,image,0.040740741,-0.400925926,1,0,0,image_2,0.009259259,-0.408333333,1,0,0,image,-0.001851852,-0.390740741,1,0,0,image,0.030555556,-0.387037037,1,0,0,image,-0.006481481,0,1,0,0,center_square_3,0.7,-0.006481481,0,0,0,0,-2,67.5357,1,1,-0.006481481,0,0,0,0,0,0,0,0,1,videos/0001.mp4,1,tachishogo,2024-06-25_15h52.00.420,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.091666667,0.021296296,1,0,0,3,73.2531,1,2,0.001851852,-0.000925926,1,0,0,0,1,1,1,1,videos/0002.mp4,2,tachishogo,2024-06-25_15h52.00.420,demoExp_V2,2021.2.3,Win32,59.88023952,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.016666667,-0.089814815,1,0,0,1,92.4177,1,3,0.000925926,-0.00462963,1,0,0,0,2,2,2,1,videos/0003.mp4,3,tachishogo,2024-06-25_15h52.00.420,demoExp_V2,2021.2.3,Win32,59.88023952,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.075,-0.043518519,1,0,0,-2,103.4965,1,4,0.002777778,-0.000925926,1,0,0,0,3,3,3,1,videos/0004.mp4,4,tachishogo,2024-06-25_15h52.00.420,demoExp_V2,2021.2.3,Win32,59.88023952,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.062037037,0.016666667,1,0,0,3,111.055,1,5,0.00462963,-0.006481481,1,0,0,0,4,4,4,1,videos/0005.mp4,5,tachishogo,2024-06-25_15h52.00.420,demoExp_V2,2021.2.3,Win32,59.88023952,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.010185185,-0.049074074,1,0,0,1,125.1873,1,6,0.00462963,-0.007407407,1,0,0,0,5,5,5,1,videos/0006.mp4,6,tachishogo,2024-06-25_15h52.00.420,demoExp_V2,2021.2.3,Win32,59.88023952,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00462963,-0.00462963,1,0,0,center_square_3,0.7,,,,,,2,157.2095,1,1,,,,,,,,,,,,,tachishogo,2024-06-25_15h52.00.420,demoExp_V2,2021.2.3,Win32,59.88023952,,,-0.005555556,-0.388888889,1,0,0,image,0.00462963,-0.00462963,0,0,0,group_1/0283.mp4,0.00462963,-0.00462963,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,2,164.8311,1,2,,,,,,,,,,,,,tachishogo,2024-06-25_15h52.00.420,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,0.112962963,-0.044444444,1,0,0,group_1/1158.mp4,0.009259259,-0.006481481,1,0,0,1,0,1,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,3,172.8731,1,3,,,,,,,,,,,,,tachishogo,2024-06-25_15h52.00.420,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,0.046296296,0.022222222,1,0,0,group_1/0927.mp4,0.003703704,0.002777778,1,0,0,2,0,2,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,2,190.8763,1,4,,,,,,,,,,,,,tachishogo,2024-06-25_15h52.00.420,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,0.047222222,-0.023148148,1,0,0,group_1/0283.mp4,-0.001851852,-0.000925926,1,0,0,3,0,3,0,1,response3disk_2,center_square_2,,
