sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1768.mp4"",""group_1/1375.mp4"",""group_1/0927.mp4"",""group_1/1768.mp4"",""group_1/1071.mp4"",""group_1/1375.mp4"",""group_1/0283.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/1791.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/1375.mp4"",""group_1/1703.mp4"",""group_1/1768.mp4"",""group_1/1292.mp4"",""group_1/1375.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/2138.mp4"",""group_1/0927.mp4"",""group_1/1169.mp4"",""group_1/1071.mp4"",""group_1/1292.mp4"",""group_1/0927.mp4"",""group_1/1703.mp4"",""group_1/1071.mp4"",""group_1/0059.mp4"",""group_1/0927.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/1071.mp4"",""group_1/2138.mp4"",""group_1/0283.mp4"",""group_1/1169.mp4"",""group_1/1158.mp4"",""group_1/1292.mp4"",""group_1/0283.mp4"",""group_1/1703.mp4"",""group_1/1158.mp4"",""group_1/0059.mp4"",""group_1/0283.mp4"",""group_1/1791.mp4"",""group_1/1158.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/1169.mp4"",""group_1/0059.mp4"",""group_1/1292.mp4"",""group_1/1791.mp4"",""group_1/1703.mp4"",""group_1/0059.mp4"",""group_1/2138.mp4"",""group_1/1703.mp4"",""group_1/1169.mp4"",""group_1/1292.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/1292.mp4"",""group_1/1703.mp4"",""group_1/0059.mp4"",""group_1/1791.mp4"",""group_1/1158.mp4"",""group_1/0283.mp4"",""group_1/1071.mp4"",""group_1/0927.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4""]",-0.022598829,-0.423895002,1,0,0,image,-0.021269504,-0.411266201,1,0,0,image_2,-0.000664632,-0.420571659,1,0,0,image,-0.014622758,-0.366733174,1,0,0,image,-0.00265865,-0.407278166,1,0,0,image,0.000664693,0.007477567,1,0,0,center_square_3,0.5,0.076437375,-0.171319416,0,0,0,1,97.16,1,1,0.076437375,-0.171319416,0,0,0,0,0,0,0,1,videos/0001.mp4,1,yashiroryuto,2024-06-26_12h42.05.293,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.136922606,-0.069624501,1,0,0,2,102.3579,1,2,0.002658711,0.004154194,1,0,0,0,1,1,1,1,videos/0002.mp4,2,yashiroryuto,2024-06-26_12h42.05.293,demoExp_V2,2021.2.3,Win32,59.88023952,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.129611167,0.038717162,1,0,0,-3,111.6281,1,3,0.005982054,-0.009139269,1,0,0,0,2,2,2,1,videos/0003.mp4,3,yashiroryuto,2024-06-26_12h42.05.293,demoExp_V2,2021.2.3,Win32,59.88023952,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.148886653,-0.03705552,1,0,0,-2,122.728,1,4,0.003323404,-0.005151233,1,0,0,0,3,3,3,1,videos/0004.mp4,4,yashiroryuto,2024-06-26_12h42.05.293,demoExp_V2,2021.2.3,Win32,59.88023952,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.095048168,0.067962768,1,0,0,-3,135.879,1,5,-0.007311379,-0.01179798,1,0,0,0,4,4,4,1,videos/0005.mp4,5,yashiroryuto,2024-06-26_12h42.05.293,demoExp_V2,2021.2.3,Win32,59.88023952,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.031904287,0.07859752,1,0,0,-4,150.2125,1,6,0.013293494,0.004818856,1,0,0,0,5,5,5,1,videos/0006.mp4,6,yashiroryuto,2024-06-26_12h42.05.293,demoExp_V2,2021.2.3,Win32,59.88023952,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004652729,-0.00448654,1,0,0,center_square_3,0.6,,,,,,1,169.3236,1,1,,,,,,,,,,,,,yashiroryuto,2024-06-26_12h42.05.293,demoExp_V2,2021.2.3,Win32,59.88023952,,,0.049850449,-0.409272183,1,0,0,image,0.023928215,-0.116151545,0,0,0,group_1/1768.mp4,0.023928215,-0.116151545,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,-2,182.652,1,2,,,,,,,,,,,,,yashiroryuto,2024-06-26_12h42.05.293,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,-0.117647059,-0.026420738,1,0,0,group_1/1375.mp4,-0.001329325,-0.002492522,1,0,0,1,0,1,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,-4,190.7126,1,3,,,,,,,,,,,,,yashiroryuto,2024-06-26_12h42.05.293,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,-0.077102007,0.126453951,1,0,0,group_1/0927.mp4,0.003323404,-0.003157215,1,0,0,2,0,2,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-4,200.0982,1,4,,,,,,,,,,,,,yashiroryuto,2024-06-26_12h42.05.293,demoExp_V2,2021.2.3,Win32,59.88023952,,,,,,,,,-0.043203702,0.107843127,1,0,0,group_1/1768.mp4,-0.005317361,-0.015121323,1,0,0,3,0,3,0,1,response7disk_2,center_square_2,,
