sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1292.mp4"",""group_1/1375.mp4"",""group_1/1071.mp4"",""group_1/1292.mp4"",""group_1/1703.mp4"",""group_1/1375.mp4"",""group_1/1768.mp4"",""group_1/1791.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/1292.mp4"",""group_1/0059.mp4"",""group_1/1375.mp4"",""group_1/1169.mp4"",""group_1/1292.mp4"",""group_1/0927.mp4"",""group_1/1375.mp4"",""group_1/1158.mp4"",""group_1/1292.mp4"",""group_1/0283.mp4"",""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/1703.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/1169.mp4"",""group_1/1703.mp4"",""group_1/0059.mp4"",""group_1/1071.mp4"",""group_1/2138.mp4"",""group_1/1703.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/1768.mp4"",""group_1/1703.mp4"",""group_1/0283.mp4"",""group_1/1768.mp4"",""group_1/1158.mp4"",""group_1/1791.mp4"",""group_1/0927.mp4"",""group_1/1768.mp4"",""group_1/1169.mp4"",""group_1/1791.mp4"",""group_1/0059.mp4"",""group_1/1768.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/0283.mp4"",""group_1/2138.mp4"",""group_1/1158.mp4"",""group_1/0059.mp4"",""group_1/0927.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/0059.mp4"",""group_1/0283.mp4"",""group_1/1169.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/1158.mp4"",""group_1/0927.mp4"",""group_1/1169.mp4"",""group_1/0059.mp4"",""group_1/2138.mp4"",""group_1/1791.mp4"",""group_1/1768.mp4"",""group_1/1703.mp4"",""group_1/1071.mp4"",""group_1/1375.mp4"",""group_1/0283.mp4""]",0.046362434,-0.397118882,1,0,0,image,0.046362434,-0.397118882,1,0,0,image_2,0.046362434,-0.397118882,1,0,0,image,0.046362434,-0.397118882,1,0,0,image,0.046362434,-0.397118882,1,0,0,image,0.002000661,0.005142196,1,0,0,center_square_3,0.9,0.002000661,0.005142196,0,0,0,4,54.103,1,1,0.002000661,0.005142196,0,0,0,0,0,0,0,1,videos/0001.mp4,1,nakayamaryohei,2024-06-25_12h51.20.125,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.059573413,0.14937996,1,0,0,4,58.1192,1,2,0.009408069,-0.005993717,1,0,0,0,1,1,1,1,videos/0002.mp4,2,nakayamaryohei,2024-06-25_12h51.20.125,demoExp_V2,2021.2.3,MacIntel,120.4819277,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.048342427,-0.146705522,1,0,0,1,67.8722,1,3,0.010772156,0.000558036,1,0,0,0,2,2,2,1,videos/0003.mp4,3,nakayamaryohei,2024-06-25_12h51.20.125,demoExp_V2,2021.2.3,MacIntel,120.4819277,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.097676918,0.028732639,1,0,0,-3,78.8792,1,4,-0.003261409,-0.0109375,1,0,0,0,3,3,3,1,videos/0004.mp4,4,nakayamaryohei,2024-06-25_12h51.20.125,demoExp_V2,2021.2.3,MacIntel,120.4819277,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.040376984,-0.095738261,1,0,0,-1,90.53,1,5,-0.014508929,0.00906498,1,0,0,0,4,4,4,1,videos/0005.mp4,5,nakayamaryohei,2024-06-25_12h51.20.125,demoExp_V2,2021.2.3,MacIntel,120.4819277,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.102095734,-0.031502149,1,0,0,-2,104.0881,1,6,8.2672E-05,0.00328621,1,0,0,0,5,5,5,1,videos/0006.mp4,6,nakayamaryohei,2024-06-25_12h51.20.125,demoExp_V2,2021.2.3,MacIntel,120.4819277,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005642361,-0.007353671,1,0,0,center_square_3,0.9,,,,,,-1,164.5081,1,1,,,,,,,,,,,,,nakayamaryohei,2024-06-25_12h51.20.125,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,0.013351521,-0.380501819,1,0,0,image,-0.005642361,-0.007353671,0,0,0,group_1/1292.mp4,-0.005642361,-0.007353671,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,170.3624,1,2,,,,,,,,,,,,,nakayamaryohei,2024-06-25_12h51.20.125,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,,,,,,,0.059465939,0.101446759,1,0,0,group_1/1375.mp4,0.014566799,2.48016E-05,1,0,0,1,0,1,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,1,176.8036,1,3,,,,,,,,,,,,,nakayamaryohei,2024-06-25_12h51.20.125,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,,,,,,,0.040517526,-0.077087467,1,0,0,group_1/1071.mp4,0.005646495,0.000330688,1,0,0,2,0,2,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,2,600.8292,1,4,,,,,,,,,,,,,nakayamaryohei,2024-06-25_12h51.20.125,demoExp_V2,2021.2.3,MacIntel,120.4819277,,,,,,,,,0.167650463,-0.023883929,1,0,0,group_1/1292.mp4,-0.010172784,0.005725033,1,0,0,3,0,3,0,1,response3disk_2,center_square_2,,
