sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1071.mp4"",""group_1/1158.mp4"",""group_1/1292.mp4"",""group_1/1071.mp4"",""group_1/0927.mp4"",""group_1/1158.mp4"",""group_1/1169.mp4"",""group_1/1375.mp4"",""group_1/1158.mp4"",""group_1/1768.mp4"",""group_1/1071.mp4"",""group_1/1791.mp4"",""group_1/1158.mp4"",""group_1/0283.mp4"",""group_1/1071.mp4"",""group_1/2138.mp4"",""group_1/1158.mp4"",""group_1/0059.mp4"",""group_1/1071.mp4"",""group_1/1703.mp4"",""group_1/1292.mp4"",""group_1/0059.mp4"",""group_1/0927.mp4"",""group_1/2138.mp4"",""group_1/1292.mp4"",""group_1/0283.mp4"",""group_1/0927.mp4"",""group_1/1791.mp4"",""group_1/1292.mp4"",""group_1/1768.mp4"",""group_1/0927.mp4"",""group_1/1375.mp4"",""group_1/1292.mp4"",""group_1/1169.mp4"",""group_1/0927.mp4"",""group_1/1703.mp4"",""group_1/1169.mp4"",""group_1/0059.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/0283.mp4"",""group_1/1375.mp4"",""group_1/1791.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/1375.mp4"",""group_1/1703.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/1791.mp4"",""group_1/2138.mp4"",""group_1/1768.mp4"",""group_1/0283.mp4"",""group_1/1791.mp4"",""group_1/1703.mp4"",""group_1/0283.mp4"",""group_1/0059.mp4"",""group_1/2138.mp4"",""group_1/1703.mp4"",""group_1/0059.mp4"",""group_1/2138.mp4"",""group_1/0283.mp4"",""group_1/1791.mp4"",""group_1/1768.mp4"",""group_1/1375.mp4"",""group_1/1169.mp4"",""group_1/0927.mp4"",""group_1/1292.mp4"",""group_1/1158.mp4"",""group_1/1703.mp4""]",0.04108095,-0.405342081,1,0,0,image,0.046079369,-0.397844424,1,0,0,image_2,0.046079369,-0.397844424,1,0,0,image,0.09481414,-0.453452084,1,0,0,image,0.056076264,-0.374101862,1,0,0,image,-0.002030577,-0.001718251,1,0,0,center_square_3,0.6,-0.000780987,-0.006091846,0,0,0,-1,49.6444,1,1,-0.000780987,-0.006091846,0,0,0,0,0,0,0,1,videos/0001.mp4,1,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.023586398,0.11699467,1,0,0,4,53.339,1,2,-0.008903468,-0.00546708,1,0,0,0,1,1,1,1,videos/0002.mp4,2,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.06857234,-0.03420806,1,0,0,2,63.6298,1,3,-0.008278644,0.00640423,1,0,0,0,2,2,2,1,videos/0003.mp4,3,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.110746604,0.005779406,1,0,0,-3,74.2781,1,4,-0.010153058,-0.00546708,1,0,0,0,3,3,3,1,videos/0004.mp4,4,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.101999356,-0.046704193,1,0,0,-2,83.0114,1,5,0.007966261,-0.007966261,1,0,0,0,4,4,4,1,videos/0005.mp4,5,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,response5disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-0.111996251,0.082005623,1,0,0,-3,97.3087,1,6,-0.012652296,0.002655401,1,0,0,0,5,5,5,1,videos/0006.mp4,6,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009528234,-0.000468604,1,0,0,center_square_3,0.7,,,,,,-1,112.0135,1,1,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,0.026085636,-0.383473933,1,0,0,image,-0.023273958,-0.445954427,0,0,0,group_1/1071.mp4,-0.023273958,-0.445954427,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,1,120.5149,1,2,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,0.083567654,-0.145423324,1,0,0,group_1/1158.mp4,-0.011402649,0.010153058,1,0,0,1,0,1,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,-2,131.1207,1,3,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,-0.121368322,-0.036082474,1,0,0,group_1/1292.mp4,0.004842256,-0.000468604,1,0,0,2,0,2,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,-2,135.2842,1,4,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,-0.075757557,-0.046704193,1,0,0,group_1/1071.mp4,-0.003904992,0.005779406,1,0,0,3,0,3,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,3,142.8418,1,5,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,0.15666981,0.01452671,1,0,0,group_1/0927.mp4,0.001718251,-0.014839151,1,0,0,4,0,4,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,2,150.362,1,6,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,0.049828198,-0.029834465,1,0,0,group_1/1158.mp4,0.014214327,-0.002967842,1,0,0,5,0,5,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,2,155.7993,1,7,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,0.036082474,-0.023586398,1,0,0,group_1/1169.mp4,0.008591084,0.000156163,1,0,0,6,0,6,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,-3,159.3631,1,8,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,-0.123867503,0.097000937,1,0,0,group_1/1375.mp4,0.006091846,0.008278644,1,0,0,7,0,7,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,-3,166.9739,1,9,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,-0.15135895,0.023898782,1,0,0,group_1/1158.mp4,-0.008903468,0.003904992,1,0,0,8,0,8,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,-4,174.9754,1,10,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,-0.046391753,0.105123389,1,0,0,group_1/1768.mp4,-0.010777882,0.012652296,1,0,0,9,0,9,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,-2,180.3632,1,11,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,-0.134489222,-0.015463918,1,0,0,group_1/1071.mp4,-0.012027472,0.00640423,1,0,0,10,0,10,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,-2,187.5753,1,12,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,-0.070134314,-0.016713565,1,0,0,group_1/1791.mp4,0.002343018,0.003280225,1,0,0,11,0,11,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,4,197.46,1,13,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,0.02108716,0.022024367,1,0,0,group_1/1158.mp4,0.003592665,0.000156163,1,0,0,12,0,12,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,3,215.3267,1,14,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,0.094189316,0.070134314,1,0,0,group_1/0283.mp4,0.003592665,0.003280225,1,0,0,13,0,13,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1,219.9207,1,15,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,0.018587979,-0.111683868,1,0,0,group_1/1071.mp4,0.002343018,-0.00671667,1,0,0,14,0,14,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,2,229.1268,1,16,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,0.05545144,-0.033583293,1,0,0,group_1/2138.mp4,-0.010153058,-0.004217432,1,0,0,15,0,15,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,4,236.5186,1,17,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,0.071696345,0.11574508,1,0,0,group_1/1158.mp4,-0.003280225,0.012027472,1,0,0,16,0,16,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,242.1025,1,18,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,0.092939725,0.023273958,1,0,0,group_1/0059.mp4,-0.00640423,-0.003592665,1,0,0,17,0,17,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,2,247.8647,1,19,,,,,,,,,,,,,showatanabe,2024-06-28_14h01.11.437,demoExp_V2,2021.2.3,Win32,161.2903226,,,,,,,,,0.127928772,-0.028584817,1,0,0,group_1/1071.mp4,-0.012652296,-0.002967842,1,0,0,18,0,18,0,1,response3disk_2,center_square_2,,
